id,align,enableFill,caption,type,src,width,height,mediaType,name,pname,position
309,L,0,"Steve Wozniak, APPLE Co-founder",1,/media/image_309.jpg,990,600,jpg,file,people,0
1008,L,0,NULL,1,/media/image_1008.jpg,990,600,jpg,file,people,0
1009,L,0,NULL,1,/media/image_1009.jpg,990,600,jpg,file,people,0
713,L,0,NULL,1,/media/image_713.jpg,990,600,jpg,file,cars,0
309,L,0,"Steve Wozniak, APPLE Co-founder",2,/media/image_309_thumb.jpg,88,100,jpg,preview,people,0
1008,L,0,NULL,2,/media/image_1008_thumb.jpg,88,100,jpg,preview,people,0
1009,L,0,NULL,2,/media/image_1009_thumb.jpg,88,100,jpg,preview,people,0
713,L,0,NULL,2,/media/image_713_thumb.jpg,88,100,jpg,preview,cars,0
904,L,1,NULL,1,/media/image_904.jpg,990,600,jpg,file,archive.cars,0
905,L,1,NULL,1,/media/image_905.jpg,990,600,jpg,file,archive.people,0
904,L,1,NULL,2,/media/image_904_thumb.jpg,88,100,jpg,preview,archive.cars,0
905,L,1,NULL,2,/media/image_905_thumb.jpg,88,100,jpg,preview,archive.people,0
527,L,1,NULL,1,/media/image_527.jpg,990,600,jpg,file,people,1
527,L,1,NULL,2,/media/image_527_thumb.jpg,88,100,jpg,preview,people,1
1020,L,0,"Lincoln China",1,/media/image_1020.jpg,990,600,jpg,file,cars,1
1020,L,0,"Lincoln China",2,/media/image_1020_thumb.jpg,88,100,jpg,preview,cars,1
511,L,1,NULL,1,/media/image_511.jpg,990,600,jpg,file,archive.cars,1
1015,L,1,NULL,1,/media/image_1015.jpg,990,600,jpg,file,archive.people,1
511,L,1,NULL,2,/media/image_511_thumb.jpg,88,100,jpg,preview,archive.cars,1
1015,L,1,NULL,2,/media/image_1015_thumb.jpg,88,100,jpg,preview,archive.people,1
657,L,0,NULL,1,/media/image_657.jpg,990,600,jpg,file,people,2
657,L,0,NULL,2,/media/image_657_thumb.jpg,88,100,jpg,preview,people,2
1019,L,0,NULL,1,/media/image_1019.jpg,990,600,jpg,file,cars,2
192,L,0,NULL,1,/media/image_192.jpg,990,600,jpg,file,archive.cars,2
1019,L,0,NULL,2,/media/image_1019_thumb.jpg,88,100,jpg,preview,cars,2
192,L,0,NULL,2,/media/image_192_thumb.jpg,88,100,jpg,preview,archive.cars,2
319,L,0,Calvi,1,/media/image_319.jpg,990,600,jpg,file,archive.people,2
319,L,0,Calvi,2,/media/image_319_thumb.jpg,88,100,jpg,preview,archive.people,2
659,L,1,"AMERICA  1995",1,/media/image_659.jpg,990,600,jpg,file,people,3
845,L,0,NULL,1,/media/image_845.jpg,990,600,jpg,file,cars,3
659,L,1,"AMERICA  1995",2,/media/image_659_thumb.jpg,88,100,jpg,preview,people,3
845,L,0,NULL,2,/media/image_845_thumb.jpg,88,100,jpg,preview,cars,3
503,L,0,"*Boxershot by Philipp Rathmer",1,/media/image_503.jpg,990,600,jpg,file,archive.cars,3
140,L,0,ROMA,1,/media/image_140.jpg,990,600,jpg,file,archive.people,3
503,L,0,"*Boxershot by Philipp Rathmer",2,/media/image_503_thumb.jpg,88,100,jpg,preview,archive.cars,3
140,L,0,ROMA,2,/media/image_140_thumb.jpg,88,100,jpg,preview,archive.people,3
308,L,0,"Markus Luepertz",1,/media/image_308.jpg,990,600,jpg,file,people,4
821,L,0,"NO FLARE",1,/media/image_821.jpg,990,600,jpg,file,cars,4
308,L,0,"Markus Luepertz",2,/media/image_308_thumb.jpg,88,100,jpg,preview,people,4
821,L,0,"NO FLARE",2,/media/image_821_thumb.jpg,88,100,jpg,preview,cars,4
1016,L,0,NULL,1,/media/image_1016.jpg,990,600,jpg,file,archive.cars,4
227,L,0,"Banco Ambrosiano",1,/media/image_227.jpg,990,600,jpg,file,archive.people,4
1016,L,0,NULL,2,/media/image_1016_thumb.jpg,88,100,jpg,preview,archive.cars,4
227,L,0,"Banco Ambrosiano",2,/media/image_227_thumb.jpg,88,100,jpg,preview,archive.people,4
235,R,0,"Georg Baselitz KODAK",1,/media/image_235.jpg,990,600,jpg,file,people,5
235,R,0,"Georg Baselitz KODAK",2,/media/image_235_thumb.jpg,88,100,jpg,preview,people,5
871,L,0,"merci a Clemence Andanson et MACKEVISION",1,/media/image_871.jpg,990,600,jpg,file,cars,5
871,L,0,"merci a Clemence Andanson et MACKEVISION",2,/media/image_871_thumb.jpg,88,100,jpg,preview,cars,5
970,R,0,NULL,1,/media/image_970.jpg,990,600,jpg,file,archive.cars,5
213,R,0,NULL,1,/media/image_213.jpg,990,600,jpg,file,archive.people,5
970,R,0,NULL,2,/media/image_970_thumb.jpg,88,100,jpg,preview,archive.cars,5
213,R,0,NULL,2,/media/image_213_thumb.jpg,88,100,jpg,preview,archive.people,5
655,L,0,NULL,1,/media/image_655.jpg,990,600,jpg,file,people,6
760,L,0,"bring back AFFECTION",1,/media/image_760.jpg,990,600,jpg,file,cars,6
655,L,0,NULL,2,/media/image_655_thumb.jpg,88,100,jpg,preview,people,6
760,L,0,"bring back AFFECTION",2,/media/image_760_thumb.jpg,88,100,jpg,preview,cars,6
1004,L,0,NULL,1,/media/image_1004.jpg,990,600,jpg,file,archive.cars,6
99,L,0,NULL,1,/media/image_99.jpg,990,600,jpg,file,archive.people,6
1004,L,0,NULL,2,/media/image_1004_thumb.jpg,88,100,jpg,preview,archive.cars,6
99,L,0,NULL,2,/media/image_99_thumb.jpg,88,100,jpg,preview,archive.people,6
654,L,0,"Agnes Lux",1,/media/image_654.jpg,990,600,jpg,file,people,7
654,L,0,"Agnes Lux",2,/media/image_654_thumb.jpg,88,100,jpg,preview,people,7
872,L,1,CGI,1,/media/image_872.jpg,990,600,jpg,file,cars,7
872,L,1,CGI,2,/media/image_872_thumb.jpg,88,100,jpg,preview,cars,7
1007,L,0,NULL,1,/media/image_1007.jpg,990,600,jpg,file,archive.cars,7
529,L,1,NULL,1,/media/image_529.jpg,990,600,jpg,file,archive.people,7
1007,L,0,NULL,2,/media/image_1007_thumb.jpg,88,100,jpg,preview,archive.cars,7
529,L,1,NULL,2,/media/image_529_thumb.jpg,88,100,jpg,preview,archive.people,7
395,L,0,"KODAK TRI-X",1,/media/image_395.jpg,990,600,jpg,file,people,8
395,L,0,"KODAK TRI-X",2,/media/image_395_thumb.jpg,88,100,jpg,preview,people,8
895,L,0,NULL,1,/media/image_895.jpg,990,600,jpg,file,cars,8
341,R,0,NULL,1,/media/image_341.jpg,990,600,jpg,file,archive.cars,8
895,L,0,NULL,2,/media/image_895_thumb.jpg,88,100,jpg,preview,cars,8
341,R,0,NULL,2,/media/image_341_thumb.jpg,88,100,jpg,preview,archive.cars,8
139,L,0,NULL,1,/media/image_139.jpg,990,600,jpg,file,archive.people,8
139,L,0,NULL,2,/media/image_139_thumb.jpg,88,100,jpg,preview,archive.people,8
130,R,1,POP,1,/media/image_130.jpg,990,600,jpg,file,people,9
817,L,0,NULL,1,/media/image_817.jpg,990,600,jpg,file,cars,9
130,R,1,POP,2,/media/image_130_thumb.jpg,88,100,jpg,preview,people,9
817,L,0,NULL,2,/media/image_817_thumb.jpg,88,100,jpg,preview,cars,9
914,L,0,NULL,1,/media/image_914.jpg,990,600,jpg,file,archive.cars,9
117,R,0,NULL,1,/media/image_117.jpg,990,600,jpg,file,archive.people,9
914,L,0,NULL,2,/media/image_914_thumb.jpg,88,100,jpg,preview,archive.cars,9
117,R,0,NULL,2,/media/image_117_thumb.jpg,88,100,jpg,preview,archive.people,9
647,L,0,"1007000000000 Euro over budget",1,/media/image_647.jpg,990,600,jpg,file,people,10
647,L,0,"1007000000000 Euro over budget",2,/media/image_647_thumb.jpg,88,100,jpg,preview,people,10
907,L,0,NULL,1,/media/image_907.jpg,990,600,jpg,file,cars,10
445,R,0,,1,/media/image_445.jpg,990,600,jpg,file,archive.cars,10
907,L,0,NULL,2,/media/image_907_thumb.jpg,88,100,jpg,preview,cars,10
